id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,12062,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve']",21000000.0,19862628.0,19862628.0,False,,1,,,,2025-05-10T03:47:00.000Z,103163.70019942311,56074880249.59406,-15.7686,-0.05498425,0.76318063,6.89589369,26.27221527,29.56892919,6.10907543,2049102200164.667,62.6517,2166437704187.89,,2025-05-10T03:47:00.000Z,,,,,,2025-05-10 10:48:25.860309
1027,Ethereum,ETH,ethereum,10285,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve']",,120730634.90448909,120730634.90448909,True,,2,,,,2025-05-10T03:47:00.000Z,2337.6312413480523,41599214548.41506,9.1888,-0.33743548,5.30892835,27.22012038,45.12891819,25.79788251,-12.84004725,282223703940.5193,8.629,282223703940.52,,2025-05-10T03:47:00.000Z,,,,,,2025-05-10 10:48:25.860309
825,Tether USDt,USDT,tether,127304,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio']",,149733756681.2742,153508342069.00436,True,,3,,,,2025-05-10T03:46:00.000Z,0.9999660847935442,118795432716.36496,4.2439,0.00202867,-0.00189852,-0.03174962,0.03830954,0.03618842,-0.02138261,149728678430.00296,4.5784,153503135801.89,,2025-05-10T03:46:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-05-10 10:48:25.860309
52,XRP,XRP,xrp,1605,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58550454873.0,99986154627.0,False,,4,,,,2025-05-10T03:47:00.000Z,2.3642952481153396,5749896580.870954,18.0123,-0.35892004,2.30446304,6.79086356,18.57260048,15.33679573,-4.99761627,138430562231.22552,4.2325,236429524811.53,,2025-05-10T03:47:00.000Z,,,,,,2025-05-10 10:48:25.860309
1839,BNB,BNB,bnb,2519,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,140889202.61,140889202.61,False,,5,,,,2025-05-10T03:47:00.000Z,662.2872884890486,2619173943.055626,26.6661,-1.50710942,5.72467614,10.45194213,15.18225594,24.16263463,7.65433878,93309127973.96109,2.8529,93309127973.96,,2025-05-10T03:47:00.000Z,,,,,,2025-05-10 10:48:25.860309
5426,Solana,SOL,solana,913,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve']",,519015792.4311312,600355757.5974402,True,,6,,,,2025-05-10T03:46:00.000Z,171.6331398625374,7293412790.513101,18.3368,-0.38467906,6.03450519,15.53433243,48.80008986,42.52016715,-16.49384736,89080310093.19803,2.7239,103040943711.0,,2025-05-10T03:46:00.000Z,,,,,,2025-05-10 10:48:25.860309
3408,USDC,USDC,usd-coin,27708,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,60777124615.39289,60777124615.39289,False,,7,,,,2025-05-10T03:46:00.000Z,0.9999459398721141,19121974902.98083,-1.5752,-0.00278828,-0.01609783,0.0024382,0.00251448,-0.00099645,-0.00986544,60773838996.26365,1.8584,60773838996.26,,2025-05-10T03:46:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-05-10 10:48:25.860309
74,Dogecoin,DOGE,dogecoin,1218,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america']",,149199286383.70526,149199286383.70526,True,,8,,,,2025-05-10T03:47:00.000Z,0.20839144639236534,2356664890.3596883,16.3697,0.07270668,6.77800304,15.3170295,34.59403548,34.37102164,-19.34254035,31091855090.20908,0.9506,31091855090.21,,2025-05-10T03:47:00.000Z,,,,,,2025-05-10 10:48:25.860309
2010,Cardano,ADA,cardano,1513,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve']",45000000000.0,35312950699.40473,44994598048.95946,False,,9,,,,2025-05-10T03:47:00.000Z,0.7801872968186545,1420153842.7005901,1.2074,-0.76224064,2.0398079,11.75407502,27.62321803,11.16645503,10.03602249,27550715548.858994,0.8424,35108428356.84,,2025-05-10T03:47:00.000Z,,,,,,2025-05-10 10:48:25.860309
1958,TRON,TRX,tron,1173,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio']",,94911304420.86954,94911291377.22676,True,,10,,,,2025-05-10T03:47:00.000Z,0.26354861216146175,1353123452.253381,72.0804,-0.13376611,3.46405094,5.87396161,10.87891544,13.98724392,12.8539385,25013742558.554176,0.7648,25013739120.92,,2025-05-10T03:47:00.000Z,,,,,,2025-05-10 10:48:25.860309
